county_name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
".Tazewell County, Illinois","135,486","135,850","136,127","136,266","135,353","134,302","133,932","133,489","132,450","131,803"
".Union County, Illinois","17,731","17,692","17,608","17,539","17,402","17,284","17,105","16,968","16,832","16,653"
".Vermilion County, Illinois","81,640","81,414","80,862","80,585","79,783","79,170","78,494","77,689","76,702","75,758"
".Wabash County, Illinois","11,916","11,794","11,686","11,671","11,599","11,624","11,542","11,523","11,523","11,520"
".Warren County, Illinois","17,713","17,836","17,749","17,662","17,712","17,455","17,294","17,144","16,992","16,844"
".Washington County, Illinois","14,712","14,576","14,599","14,414","14,392","14,262","14,179","13,963","13,999","13,887"
".Wayne County, Illinois","16,738","16,661","16,656","16,664","16,594","16,517","16,542","16,412","16,326","16,215"
".White County, Illinois","14,597","14,590","14,522","14,434","14,265","14,204","14,079","13,903","13,618","13,537"
".Whiteside County, Illinois","58,486","58,286","57,766","57,468","57,021","56,919","56,476","55,955","55,553","55,175"
".Will County, Illinois","678,824","680,827","682,477","683,734","685,158","685,877","688,328","690,479","691,149","690,743"
".Williamson County, Illinois","66,432","66,732","66,776","67,450","67,412","67,428","67,454","67,049","66,982","66,597"
".Winnebago County, Illinois","295,083","293,642","292,084","290,945","288,695","287,148","286,065","284,681","283,630","282,572"
".Woodford County, Illinois","38,661","38,844","38,837","39,027","39,052","38,930","38,913","38,670","38,527","38,459"
".Adams County, Indiana","34,444","34,368","34,400","34,644","34,758","34,945","35,178","35,385","35,595","35,777"
".Allen County, Indiana","355,945","358,974","360,890","363,355","365,147","367,362","369,412","371,723","375,079","379,299"
".Bartholomew County, Indiana","76,818","77,620","79,001","79,655","80,497","81,458","82,231","82,213","82,722","83,779"
".Benton County, Indiana","8,863","8,856","8,821","8,748","8,720","8,693","8,658","8,631","8,653","8,748"
".Blackford County, Indiana","12,771","12,656","12,528","12,461","12,347","12,242","12,115","12,028","11,924","11,758"
".Boone County, Indiana","56,916","57,915","59,033","60,346","61,631","63,033","64,192","65,723","66,930","67,843"
".Brown County, Indiana","15,207","15,076","15,049","15,055","14,944","14,994","14,996","15,010","15,230","15,092"
".Carroll County, Indiana","20,199","20,043","20,112","20,113","19,953","19,887","19,973","20,067","20,188","20,257"
".Cass County, Indiana","38,985","38,916","38,771","38,585","38,487","38,081","37,905","37,828","37,895","37,689"
".Clark County, Indiana","110,567","111,490","111,853","112,688","114,035","114,819","115,588","116,545","117,280","118,302"
".Clay County, Indiana","26,854","26,837","26,788","26,662","26,430","26,395","26,210","26,167","26,175","26,225"
".Clinton County, Indiana","33,221","33,034","32,890","32,766","32,462","32,373","32,207","32,195","32,192","32,399"
".Crawford County, Indiana","10,708","10,621","10,669","10,620","10,668","10,555","10,583","10,535","10,594","10,577"
".Daviess County, Indiana","31,720","31,950","32,116","32,282","32,680","32,823","33,010","33,136","33,278","33,351"
".Dearborn County, Indiana","50,083","49,986","49,727","49,739","49,418","49,455","49,436","49,564","49,482","49,458"
".Decatur County, Indiana","25,798","25,902","26,043","26,236","26,416","26,339","26,565","26,620","26,725","26,559"
".DeKalb County, Indiana","42,336","42,494","42,328","42,369","42,428","42,496","42,652","42,806","43,208","43,475"
".Delaware County, Indiana","117,665","117,901","117,027","116,831","116,487","115,767","115,657","115,246","114,297","114,135"
".Dubois County, Indiana","41,905","42,162","42,083","42,275","42,297","42,317","42,450","42,538","42,674","42,736"
".Elkhart County, Indiana","197,451","198,279","198,968","200,205","201,423","202,995","203,642","204,194","205,617","206,341"
".Fayette County, Indiana","24,325","24,150","23,947","23,826","23,442","23,388","23,252","23,154","23,076","23,102"
".Floyd County, Indiana","74,709","74,978","75,260","76,018","76,094","76,505","76,734","77,006","77,834","78,522"
".Fountain County, Indiana","17,276","17,157","17,117","16,882","16,693","16,537","16,457","16,419","16,390","16,346"
".Franklin County, Indiana","23,059","23,040","23,032","22,970","22,982","22,940","22,770","22,694","22,706","22,758"
".Fulton County, Indiana","20,817","20,735","20,638","20,449","20,517","20,340","20,118","19,995","20,053","19,974"
".Gibson County, Indiana","33,545","33,524","33,527","33,484","33,723","33,644","33,644","33,721","33,610","33,659"
".Grant County, Indiana","69,903","69,616","69,078","68,845","68,326","67,479","66,669","66,305","66,039","65,769"
".Greene County, Indiana","33,207","33,032","32,944","32,741","32,646","32,416","32,228","32,172","32,059","31,922"
".Hamilton County, Indiana","276,493","283,368","289,747","296,858","302,772","308,428","315,902","322,933","330,311","338,011"
".Hancock County, Indiana","70,247","70,363","70,582","70,980","71,754","72,413","73,765","74,998","76,478","78,168"
".Harrison County, Indiana","39,330","39,188","39,011","39,000","39,173","39,532","39,661","39,777","40,214","40,515"
".Hendricks County, Indiana","145,954","148,664","150,735","153,555","155,845","157,776","160,376","163,622","166,908","170,311"
".Henry County, Indiana","49,530","49,216","49,112","48,843","48,886","48,655","48,345","48,170","48,131","47,972"
".Howard County, Indiana","82,752","82,797","82,839","82,738","82,605","82,338","82,304","82,210","82,257","82,544"
".Huntington County, Indiana","37,117","37,167","36,979","36,777","36,609","36,518","36,294","36,222","36,243","36,520"
".Jackson County, Indiana","42,586","42,917","42,986","43,437","43,703","43,875","43,997","43,955","44,068","44,231"
".Jasper County, Indiana","33,496","33,427","33,492","33,423","33,512","33,478","33,405","33,424","33,365","33,562"
".Jay County, Indiana","21,179","21,335","21,348","21,270","21,139","21,137","21,017","20,883","20,727","20,436"
".Jefferson County, Indiana","32,395","32,272","32,436","32,390","32,402","32,297","32,230","32,013","32,157","32,308"
".Jennings County, Indiana","28,481","28,155","28,145","28,227","27,916","27,834","27,648","27,652","27,679","27,735"
".Johnson County, Indiana","140,269","141,734","143,475","145,410","147,085","148,962","151,540","153,820","156,093","158,167"
".Knox County, Indiana","38,391","38,473","37,974","38,055","37,961","37,760","37,333","37,044","36,596","36,594"
".Kosciusko County, Indiana","77,340","77,353","77,603","77,865","78,371","78,547","78,732","79,026","79,416","79,456"
".LaGrange County, Indiana","37,159","37,469","37,662","38,089","38,435","38,616","39,113","39,248","39,375","39,614"
".Lake County, Indiana","495,947","494,954","493,390","491,732","491,027","487,908","486,092","484,601","484,440","485,493"
".LaPorte County, Indiana","111,459","111,317","111,304","111,423","111,735","110,835","110,222","109,842","109,981","109,888"
".Lawrence County, Indiana","46,102","46,141","46,116","45,896","45,651","45,568","45,578","45,592","45,630","45,370"
".Madison County, Indiana","131,619","131,002","130,197","130,303","129,736","129,388","129,329","129,418","129,573","129,569"
".Marion County, Indiana","904,591","911,217","919,786","929,922","935,935","939,843","945,685","950,537","958,700","964,582"
".Marshall County, Indiana","47,000","46,938","46,942","46,910","46,920","46,733","46,586","46,433","46,296","46,258"
".Martin County, Indiana","10,359","10,336","10,317","10,233","10,238","10,216","10,190","10,181","10,219","10,255"
".Miami County, Indiana","36,810","36,649","36,529","36,167","36,070","36,004","36,043","35,864","35,646","35,516"
".Monroe County, Indiana","138,566","140,233","141,484","142,068","143,403","144,247","145,757","146,638","147,230","148,431"
".Montgomery County, Indiana","38,098","38,338","38,177","38,137","38,150","38,243","38,238","38,343","38,274","38,338"
".Morgan County, Indiana","69,138","69,233","69,177","69,344","69,495","69,559","69,633","69,793","70,137","70,489"
".Newton County, Indiana","14,233","14,086","14,043","14,028","14,087","13,971","13,992","14,027","13,986","13,984"
".Noble County, Indiana","47,454","47,294","47,190","47,240","47,367","47,515","47,398","47,329","47,543","47,744"
".Ohio County, Indiana","6,086","6,052","6,055","5,986","5,957","5,877","5,885","5,854","5,879","5,875"
".Orange County, Indiana","19,814","19,945","19,747","19,835","19,771","19,634","19,473","19,423","19,548","19,646"
".Owen County, Indiana","21,566","21,489","21,368","21,153","21,019","20,826","20,898","20,791","20,862","20,799"
".Parke County, Indiana","17,275","17,084","17,118","17,237","17,236","16,970","16,938","16,907","16,978","16,937"
".Perry County, Indiana","19,409","19,423","19,371","19,417","19,334","19,310","18,978","18,978","19,077","19,169"
".Pike County, Indiana","12,720","12,596","12,618","12,495","12,490","12,407","12,391","12,315","12,388","12,389"
".Porter County, Indiana","164,487","165,511","165,702","166,478","167,166","167,334","167,475","168,495","169,488","170,389"
".Posey County, Indiana","25,861","25,695","25,616","25,561","25,603","25,613","25,639","25,569","25,554","25,427"
".Pulaski County, Indiana","13,323","13,229","13,009","12,939","12,916","12,804","12,618","12,529","12,492","12,353"
".Putnam County, Indiana","37,909","37,867","37,640","37,494","37,451","37,382","37,113","37,363","37,486","37,576"
".Randolph County, Indiana","26,178","26,033","25,857","25,617","25,331","25,138","25,112","24,907","24,806","24,665"
".Ripley County, Indiana","28,815","28,645","28,447","28,296","28,340","28,372","28,381","28,428","28,450","28,324"
".Rush County, Indiana","17,384","17,285","17,108","16,996","16,845","16,708","16,639","16,643","16,635","16,581"
".St. Joseph County, Indiana","266,797","266,680","266,492","267,054","267,848","268,361","269,862","270,057","270,972","271,826"
".Scott County, Indiana","24,171","23,907","23,723","23,755","23,636","23,660","23,687","23,793","23,784","23,873"
".Shelby County, Indiana","44,297","44,280","44,257","44,333","44,358","44,341","44,229","44,367","44,522","44,729"
".Spencer County, Indiana","20,915","20,969","20,783","20,762","20,762","20,640","20,491","20,440","20,385","20,277"
".Starke County, Indiana","23,345","23,171","23,160","23,139","22,956","22,860","23,019","22,935","22,951","22,995"
".Steuben County, Indiana","34,109","34,068","34,158","34,371","34,491","34,469","34,329","34,384","34,487","34,594"
".Sullivan County, Indiana","21,390","21,218","21,203","21,138","20,995","20,874","20,710","20,700","20,696","20,669"
".Switzerland County, Indiana","10,717","10,632","10,462","10,598","10,564","10,614","10,641","10,686","10,731","10,751"
".Tippecanoe County, Indiana","173,104","175,861","179,124","181,953","184,433","186,723","190,292","191,199","193,817","195,732"
".Tipton County, Indiana","15,878","15,816","15,659","15,544","15,405","15,249","15,163","15,137","15,112","15,148"
".Union County, Indiana","7,537","7,496","7,352","7,307","7,241","7,185","7,139","7,159","7,029","7,054"
".Vanderburgh County, Indiana","179,842","180,468","181,040","181,580","181,934","181,504","181,427","180,954","181,120","181,451"
".Vermillion County, Indiana","16,116","16,072","15,923","15,852","15,659","15,593","15,593","15,503","15,510","15,498"
".Vigo County, Indiana","107,888","108,330","108,523","108,200","107,920","107,533","107,790","107,569","107,367","107,038"
".Wabash County, Indiana","32,848","32,567","32,386","32,269","32,100","31,860","31,513","31,380","31,198","30,996"
".Warren County, Indiana","8,521","8,470","8,392","8,369","8,339","8,270","8,165","8,204","8,280","8,265"
".Warrick County, Indiana","59,839","60,201","60,347","60,852","60,956","61,522","62,005","62,401","62,474","62,998"
".Washington County, Indiana","28,292","28,196","27,913","27,779","27,886","27,774","27,728","27,771","27,932","28,036"
".Wayne County, Indiana","68,889","68,636","68,224","67,785","67,378","66,972","66,630","66,179","66,046","65,884"
".Wells County, Indiana","27,682","27,738","27,707","27,715","27,814","27,851","27,865","27,958","28,083","28,296"
".White County, Indiana","24,683","24,592","24,466","24,401","24,433","24,274","24,074","24,163","24,133","24,102"
".Whitley County, Indiana","33,353","33,358","33,335","33,283","33,444","33,444","33,475","33,722","34,047","33,964"
".Adair County, Iowa","7,679","7,546","7,468","7,387","7,368","7,145","7,005","7,051","7,074","7,152"
".Adams County, Iowa","4,023","3,994","3,910","3,891","3,877","3,754","3,692","3,657","3,644","3,602"
".Allamakee County, Iowa","14,378","14,222","14,149","14,071","14,062","13,874","13,851","13,803","13,852","13,687"
".Appanoose County, Iowa","12,856","12,848","12,707","12,654","12,671","12,577","12,505","12,353","12,401","12,426"
".Audubon County, Iowa","6,098","6,004","5,865","5,863","5,771","5,711","5,626","5,550","5,471","5,496"
".Benton County, Iowa","26,046","26,078","25,830","25,699","25,623","25,608","25,644","25,656","25,625","25,645"
".Black Hawk County, Iowa","131,162","131,584","131,878","132,933","133,390","133,701","133,077","132,238","131,723","131,228"
".Boone County, Iowa","26,271","26,288","26,136","26,284","26,290","26,443","26,416","26,443","26,312","26,234"
".Bremer County, Iowa","24,295","24,381","24,496","24,579","24,670","24,746","24,747","24,823","24,941","25,062"
".Buchanan County, Iowa","20,974","20,911","20,994","21,026","21,131","21,105","21,007","21,126","21,178","21,175"
".Buena Vista County, Iowa","20,356","20,311","20,561","20,649","20,606","20,374","20,325","20,144","19,826","19,620"
".Butler County, Iowa","14,916","14,966","14,971","14,975","14,959","14,881","14,702","14,592","14,525","14,439"
".Calhoun County, Iowa","10,160","10,064","9,913","9,898","9,845","9,801","9,811","9,729","9,711","9,668"
".Carroll County, Iowa","20,824","20,860","20,654","20,541","20,499","20,423","20,388","20,274","20,153","20,165"
".Cass County, Iowa","13,928","13,765","13,700","13,572","13,395","13,351","13,176","13,144","12,948","12,836"
".Cedar County, Iowa","18,450","18,358","18,296","18,226","18,276","18,254","18,348","18,490","18,564","18,627"
".Cerro Gordo County, Iowa","44,097","43,971","43,699","43,528","43,206","42,983","43,096","42,999","42,642","42,450"
".Cherokee County, Iowa","12,110","12,024","11,951","11,874","11,801","11,483","11,394","11,307","11,295","11,235"
".Chickasaw County, Iowa","12,410","12,405","12,287","12,274","12,252","12,151","12,094","12,002","11,952","11,933"
".Clarke County, Iowa","9,320","9,317","9,341","9,245","9,196","9,219","9,288","9,396","9,502","9,395"
".Clay County, Iowa","16,634","16,597","16,539","16,438","16,484","16,498","16,295","16,141","16,106","16,016"
".Clayton County, Iowa","18,080","18,017","17,946","17,793","17,768","17,726","17,661","17,648","17,540","17,549"
".Clinton County, Iowa","49,096","49,102","48,701","48,281","47,895","47,558","47,248","46,874","46,437","46,429"
".Crawford County, Iowa","17,170","17,217","17,299","17,360","17,168","17,082","17,103","17,076","17,089","16,820"
".Dallas County, Iowa","66,750","69,696","72,235","74,949","77,739","80,631","84,248","87,208","89,953","93,453"
".Davis County, Iowa","8,776","8,771","8,707","8,769","8,756","8,777","8,884","8,969","8,972","9,000"
".Decatur County, Iowa","8,418","8,249","8,239","8,216","8,209","8,137","8,053","7,947","7,890","7,870"
".Delaware County, Iowa","17,764","17,632","17,567","17,473","17,395","17,393","17,288","17,143","17,081","17,011"
".Des Moines County, Iowa","40,241","40,066","40,229","40,395","40,096","39,874","39,613","39,326","39,149","38,967"
".Dickinson County, Iowa","16,670","16,859","16,925","16,878","16,840","17,004","17,109","17,141","17,121","17,258"
".Dubuque County, Iowa","93,929","94,593","95,159","95,945","96,481","96,850","96,763","97,066","96,922","97,311"
".Emmet County, Iowa","10,276","10,089","9,944","9,880","9,821","9,702","9,581","9,422","9,277","9,208"
".Fayette County, Iowa","20,860","20,976","20,774","20,519","20,290","20,142","19,858","19,687","19,679","19,650"
".Floyd County, Iowa","16,309","16,095","16,087","16,023","15,999","15,910","15,857","15,767","15,752","15,642"
".Franklin County, Iowa","10,706","10,693","10,509","10,507","10,433","10,319","10,177","10,160","10,085","10,070"
".Fremont County, Iowa","7,434","7,371","7,141","7,069","7,030","6,912","6,947","6,930","6,981","6,960"
".Greene County, Iowa","9,362","9,332","9,181","9,159","9,124","8,944","9,001","8,954","8,965","8,888"
".Grundy County, Iowa","12,463","12,478","12,437","12,341","12,390","12,405","12,286","12,298","12,272","12,232"
".Guthrie County, Iowa","10,937","10,859","10,762","10,671","10,686","10,649","10,642","10,645","10,720","10,689"
".Hamilton County, Iowa","15,633","15,467","15,321","15,343","15,217","15,218","15,075","15,032","14,886","14,773"
".Hancock County, Iowa","11,297","11,292","11,175","11,131","11,040","11,028","10,887","10,756","10,710","10,630"
".Hardin County, Iowa","17,543","17,375","17,359","17,388","17,332","17,253","17,196","17,073","16,937","16,846"
".Harrison County, Iowa","14,909","14,764","14,475","14,357","14,265","14,139","14,046","14,107","14,105","14,049"
".Henry County, Iowa","20,106","20,243","19,992","20,021","19,834","19,843","19,833","20,044","20,033","19,954"
".Howard County, Iowa","9,568","9,546","9,548","9,439","9,353","9,313","9,257","9,229","9,172","9,158"
".Humboldt County, Iowa","9,792","9,782","9,723","9,677","9,636","9,556","9,530","9,569","9,559","9,558"
".Ida County, Iowa","7,066","7,046","7,044","7,074","6,971","6,968","6,961","6,869","6,846","6,860"
".Iowa County, Iowa","16,335","16,323","16,180","16,281","16,317","16,282","16,192","16,133","16,155","16,184"
".Jackson County, Iowa","19,830","19,734","19,685","19,517","19,431","19,366","19,393","19,382","19,427","19,439"
".Jasper County, Iowa","36,812","36,622","36,574","36,728","36,886","36,750","36,736","36,995","37,189","37,185"
".Jefferson County, Iowa","16,837","17,096","17,278","17,629","17,793","17,906","18,063","18,219","18,256","18,295"
".Johnson County, Iowa","131,337","134,086","137,103","140,151","142,730","144,943","146,928","149,325","150,549","151,140"
".Jones County, Iowa","20,689","20,743","20,601","20,519","20,548","20,433","20,392","20,618","20,673","20,681"
".Keokuk County, Iowa","10,508","10,398","10,427","10,337","10,283","10,171","10,170","10,141","10,213","10,246"
".Kossuth County, Iowa","15,525","15,400","15,413","15,332","15,229","15,158","15,104","14,939","14,878","14,813"
".Lee County, Iowa","35,849","35,569","35,541","35,236","35,059","34,894","34,458","34,216","33,909","33,657"
".Linn County, Iowa","211,705","214,207","215,485","216,488","218,129","220,271","222,188","224,379","225,763","226,706"
".Louisa County, Iowa","11,382","11,381","11,360","11,348","11,250","11,285","11,221","11,195","11,153","11,035"
".Lucas County, Iowa","8,898","8,880","8,778","8,697","8,636","8,610","8,555","8,533","8,617","8,600"
".Lyon County, Iowa","11,567","11,692","11,757","11,695","11,703","11,747","11,780","11,785","11,815","11,755"
".Madison County, Iowa","15,739","15,740","15,641","15,483","15,616","15,720","15,796","16,000","16,206","16,338"
".Mahaska County, Iowa","22,408","22,501","22,398","22,421","22,363","22,312","22,186","22,211","22,018","22,095"
".Marion County, Iowa","33,225","33,270","33,274","33,014","33,269","33,109","33,146","33,091","33,259","33,253"
".Marshall County, Iowa","40,722","41,013","41,032","40,995","40,722","40,352","40,135","40,078","39,888","39,369"
".Mills County, Iowa","15,076","15,029","14,873","14,905","14,760","14,882","15,053","15,060","15,068","15,109"
".Mitchell County, Iowa","10,793","10,709","10,716","10,669","10,700","10,676","10,644","10,563","10,571","10,586"
".Monona County, Iowa","9,248","9,238","9,091","9,032","8,899","8,866","8,786","8,724","8,659","8,615"
".Monroe County, Iowa","7,997","8,060","8,073","7,979","7,958","7,924","7,836","7,798","7,768","7,707"
".Montgomery County, Iowa","10,690","10,632","10,540","10,404","10,384","10,149","10,124","10,112","9,961","9,917"
".Muscatine County, Iowa","42,803","42,842","42,916","43,010","43,028","43,068","42,968","42,872","42,874","42,664"
".O'Brien County, Iowa","14,408","14,218","14,156","14,045","14,042","13,926","13,926","13,774","13,798","13,753"
".Osceola County, Iowa","6,459","6,316","6,204","6,236","6,231","6,160","6,095","6,021","6,028","5,958"
".Page County, Iowa","15,921","15,898","15,702","15,516","15,483","15,462","15,329","15,213","15,229","15,107"
".Palo Alto County, Iowa","9,398","9,354","9,279","9,164","9,120","9,140","9,034","9,052","8,903","8,886"
".Plymouth County, Iowa","24,975","24,818","24,830","24,931","24,911","24,899","25,180","25,060","25,024","25,177"
".Pocahontas County, Iowa","7,289","7,204","7,143","7,112","7,097","6,967","6,854","6,833","6,714","6,619"
".Polk County, Iowa","432,352","438,737","444,671","452,657","460,898","467,304","474,277","480,487","485,833","490,161"
".Pottawattamie County, Iowa","93,363","93,498","92,916","92,855","93,258","93,563","93,518","93,416","93,264","93,206"
".Poweshiek County, Iowa","18,925","18,896","18,728","18,606","18,608","18,358","18,279","18,334","18,467","18,504"
".Ringgold County, Iowa","5,113","5,049","5,027","4,971","4,961","4,977","4,985","5,024","4,940","4,894"
".Sac County, Iowa","10,354","10,222","10,161","10,030","10,048","9,966","9,816","9,803","9,705","9,721"
".Scott County, Iowa","165,272","166,629","168,347","170,201","171,310","171,903","172,135","172,448","172,803","172,943"
".Shelby County, Iowa","12,174","11,992","12,024","11,899","11,878","11,789","11,655","11,574","11,559","11,454"
".Sioux County, Iowa","33,754","34,016","34,282","34,503","34,635","34,754","34,944","34,781","34,802","34,855"
".Story County, Iowa","89,654","91,136","92,003","93,877","95,802","96,636","96,893","97,278","96,781","97,117"
".Tama County, Iowa","17,719","17,614","17,501","17,430","17,309","17,217","17,192","17,029","16,869","16,854"
".Taylor County, Iowa","6,322","6,304","6,260","6,233","6,175","6,246","6,213","6,095","6,160","6,121"
".Union County, Iowa","12,513","12,556","12,586","12,616","12,627","12,430","12,360","12,459","12,298","12,241"
".Van Buren County, Iowa","7,577","7,513","7,449","7,434","7,390","7,296","7,241","7,155","7,013","7,044"
".Wapello County, Iowa","35,682","35,486","35,431","35,507","35,426","35,456","35,265","35,022","34,991","34,969"
".Warren County, Iowa","46,340","46,645","46,895","47,358","47,827","48,468","49,356","50,078","51,014","51,466"
".Washington County, Iowa","21,688","21,822","21,903","21,944","22,029","22,145","22,126","22,204","22,058","21,965"
".Wayne County, Iowa","6,419","6,337","6,329","6,385","6,376","6,359","6,447","6,492","6,405","6,441"
".Webster County, Iowa","37,879","37,745","37,323","37,327","37,069","37,066","36,781","36,637","36,339","35,904"
".Winnebago County, Iowa","10,846","10,696","10,602","10,430","10,556","10,603","10,602","10,573","10,539","10,354"
".Winneshiek County, Iowa","21,076","21,051","21,041","20,840","20,696","20,745","20,427","20,129","20,017","19,991"
".Woodbury County, Iowa","102,388","102,720","102,321","102,284","102,292","102,492","102,686","102,132","102,515","103,107"
".Worth County, Iowa","7,583","7,561","7,496","7,489","7,557","7,503","7,471","7,455","7,413","7,381"
".Wright County, Iowa","13,185","13,034","13,020","12,982","12,906","12,841","12,839","12,765","12,690","12,562"
".Allen County, Kansas","13,363","13,350","13,306","13,069","12,892","12,683","12,670","12,555","12,501","12,369"
".Anderson County, Kansas","8,103","8,060","7,919","7,854","7,881","7,816","7,812","7,833","7,848","7,858"
".Atchison County, Kansas","16,855","16,753","16,774","16,688","16,523","16,418","16,376","16,298","16,173","16,073"
".Barber County, Kansas","4,852","4,923","4,867","4,909","4,881","4,824","4,673","4,570","4,465","4,427"
".Barton County, Kansas","27,675","27,697","27,520","27,443","27,334","27,159","26,878","26,394","26,057","25,779"
".Bourbon County, Kansas","15,135","14,944","14,878","14,835","14,797","14,733","14,624","14,609","14,542","14,534"
".Brown County, Kansas","9,968","9,972","9,866","9,912","9,785","9,708","9,641","9,609","9,610","9,564"
".Butler County, Kansas","65,901","65,838","65,669","65,671","65,861","66,249","66,652","66,845","66,833","66,911"
".Chase County, Kansas","2,784","2,769","2,743","2,690","2,654","2,656","2,632","2,651","2,600","2,648"
".Chautauqua County, Kansas","3,649","3,610","3,559","3,529","3,456","3,387","3,360","3,315","3,304","3,250"
".Cherokee County, Kansas","21,526","21,359","21,192","20,899","20,768","20,535","20,256","20,129","20,035","19,939"
".Cheyenne County, Kansas","2,714","2,693","2,667","2,671","2,686","2,674","2,667","2,684","2,645","2,657"
".Clark County, Kansas","2,199","2,120","2,165","2,178","2,114","2,081","2,065","1,995","1,994","1,994"
".Clay County, Kansas","8,548","8,529","8,504","8,388","8,301","8,293","8,105","8,006","8,003","8,002"
".Cloud County, Kansas","9,519","9,421","9,417","9,355","9,331","9,188","9,070","8,912","8,734","8,786"
".Coffey County, Kansas","8,585","8,487","8,467","8,377","8,394","8,291","8,339","8,228","8,232","8,179"
".Comanche County, Kansas","1,886","1,882","1,914","1,926","1,950","1,827","1,838","1,759","1,736","1,700"
".Cowley County, Kansas","36,312","36,249","36,267","36,170","35,896","35,752","35,650","35,297","35,149","34,908"
".Crawford County, Kansas","39,172","39,204","39,324","39,250","39,269","39,139","39,046","38,925","38,911","38,818"
".Decatur County, Kansas","2,957","2,927","2,884","2,908","2,897","2,923","2,828","2,863","2,860","2,827"
".Dickinson County, Kansas","19,773","19,685","19,705","19,433","19,305","19,206","18,956","18,829","18,682","18,466"
".Doniphan County, Kansas","7,960","7,960","7,890","7,876","7,840","7,788","7,718","7,657","7,658","7,600"
".Douglas County, Kansas","111,198","112,479","113,313","114,713","116,445","118,141","119,662","120,281","121,109","122,259"
".Edwards County, Kansas","3,054","3,019","2,965","2,967","3,025","2,955","2,899","2,873","2,820","2,798"
".Elk County, Kansas","2,867","2,786","2,661","2,633","2,696","2,574","2,511","2,514","2,484","2,530"
".Ellis County, Kansas","28,424","28,765","29,089","29,030","28,963","28,999","28,942","28,735","28,646","28,553"
".Ellsworth County, Kansas","6,513","6,461","6,462","6,365","6,345","6,302","6,302","6,284","6,163","6,102"
".Finney County, Kansas","36,952","37,115","37,110","37,073","37,119","37,148","36,885","36,720","36,528","36,467"
".Ford County, Kansas","34,008","34,372","34,665","34,879","34,930","34,629","34,552","34,218","33,877","33,619"
".Franklin County, Kansas","25,985","25,856","25,825","25,734","25,531","25,469","25,523","25,631","25,625","25,544"
".Geary County, Kansas","35,243","35,294","37,903","36,797","36,446","36,681","35,223","33,774","32,777","31,670"
".Gove County, Kansas","2,692","2,726","2,759","2,794","2,748","2,698","2,622","2,622","2,611","2,636"
".Graham County, Kansas","2,602","2,635","2,581","2,588","2,557","2,591","2,562","2,485","2,475","2,482"
".Grant County, Kansas","7,825","7,896","7,832","7,846","7,787","7,724","7,675","7,490","7,294","7,150"
".Gray County, Kansas","6,026","6,086","5,963","5,980","6,062","6,082","6,031","6,018","6,076","5,988"
".Greeley County, Kansas","1,259","1,255","1,268","1,283","1,302","1,302","1,277","1,226","1,229","1,232"
".Greenwood County, Kansas","6,680","6,611","6,426","6,358","6,288","6,233","6,112","6,067","6,011","5,982"
".Hamilton County, Kansas","2,707","2,637","2,651","2,620","2,659","2,568","2,634","2,616","2,600","2,539"
".Harper County, Kansas","6,008","5,937","5,862","5,842","5,829","5,781","5,667","5,580","5,508","5,436"
".Harvey County, Kansas","34,740","34,691","34,754","34,715","34,597","34,802","34,726","34,373","34,183","34,429"
".Haskell County, Kansas","4,273","4,235","4,215","4,126","4,101","4,089","4,026","4,019","3,990","3,968"
".Hodgeman County, Kansas","1,920","1,957","1,927","1,924","1,883","1,869","1,851","1,863","1,822","1,794"
".Jackson County, Kansas","13,462","13,427","13,401","13,310","13,437","13,285","13,270","13,332","13,270","13,171"
".Jefferson County, Kansas","19,121","18,942","18,861","18,773","18,805","18,794","18,824","18,932","18,856","19,043"
".Jewell County, Kansas","3,063","3,091","3,054","3,060","3,043","2,963","2,880","2,857","2,845","2,879"
".Johnson County, Kansas","545,655","552,907","559,428","566,351","572,940","579,684","586,015","591,305","598,127","602,401"
".Kearny County, Kansas","4,002","3,958","3,971","3,912","3,938","3,929","3,890","3,935","3,941","3,838"
".Kingman County, Kansas","7,857","7,891","7,825","7,801","7,683","7,636","7,417","7,275","7,220","7,152"
".Kiowa County, Kansas","2,569","2,558","2,513","2,534","2,532","2,570","2,507","2,486","2,489","2,475"
".Labette County, Kansas","21,537","21,377","21,163","20,871","20,773","20,628","20,313","20,129","19,906","19,618"
".Lane County, Kansas","1,736","1,743","1,684","1,698","1,666","1,630","1,593","1,548","1,546","1,535"
".Leavenworth County, Kansas","76,520","77,075","77,644","78,082","78,554","79,119","80,244","81,109","81,497","81,758"
".Lincoln County, Kansas","3,244","3,234","3,181","3,161","3,184","3,142","3,077","3,043","2,998","2,962"
".Linn County, Kansas","9,626","9,612","9,485","9,543","9,536","9,580","9,606","9,697","9,771","9,703"
".Logan County, Kansas","2,774","2,766","2,794","2,775","2,768","2,787","2,818","2,814","2,812","2,794"
".Lyon County, Kansas","33,648","33,652","33,550","33,479","33,143","33,133","33,369","33,257","33,300","33,195"
".McPherson County, Kansas","29,128","29,154","29,221","29,415","28,896","28,648","28,429","28,687","28,528","28,542"
".Marion County, Kansas","12,671","12,545","12,376","12,205","12,188","12,053","12,017","11,945","11,923","11,884"
".Marshall County, Kansas","10,111","9,983","10,026","9,973","9,945","9,845","9,789","9,687","9,715","9,707"
