Areaname,land_area
"Newton, IN",403.56
"Noble, IN",417.63
"Ohio, IN",87.48
"Orange, IN",408.23
"Owen, IN",387.85
"Parke, IN",450.12
"Perry, IN",386.36
"Pike, IN",341.1
"Porter, IN",521.64
"Posey, IN",419.47
"Pulaski, IN",434.59
"Putnam, IN",482.61
"Randolph, IN",453.27
"Ripley, IN",447.95
"Rush, IN",408.65
"St. Joseph, IN",460.97
"Scott, IN",192.74
"Shelby, IN",413.14
"Spencer, IN",401.26
"Starke, IN",312.33
"Steuben, IN",322.5
"Sullivan, IN",454.08
"Switzerland, IN",223.54
"Tippecanoe, IN",503.12
"Tipton, IN",260.43
"Union, IN",165.26
"Vanderburgh, IN",235.76
"Vermillion, IN",259.95
"Vigo, IN",410.5
"Wabash, IN",421.1
"Warren, IN",366.63
"Warrick, IN",390.87
"Washington, IN",516.57
"Wayne, IN",404.38
"Wells, IN",370.43
"White, IN",508.82
"Whitley, IN",337.91
IOWA,56275.54
"Adair, IA",570.33
"Adams, IA",425.42
"Allamakee, IA",658.75
"Appanoose, IA",516.39
"Audubon, IA",443.6
"Benton, IA",718.52
"Black Hawk, IA",571.96
"Boone, IA",573.54
"Bremer, IA",439.64
"Buchanan, IA",573.38
"Buena Vista, IA",580.1
"Butler, IA",581.6
"Calhoun, IA",572.33
"Carroll, IA",570.27
"Cass, IA",565.03
"Cedar, IA",582.01
"Cerro Gordo, IA",575.18
"Cherokee, IA",577.38
"Chickasaw, IA",505.53
"Clarke, IA",431.75
"Clay, IA",572.56
"Clayton, IA",792.85
"Clinton, IA",710.26
"Crawford, IA",715.04
"Dallas, IA",591.77
"Davis, IA",504.93
"Decatur, IA",533.36
"Delaware, IA",579.08
"Des Moines, IA",429.83
"Dickinson, IA",403.71
"Dubuque, IA",616.63
"Emmet, IA",402.4
"Fayette, IA",731.47
"Floyd, IA",501.33
"Franklin, IA",583.06
"Fremont, IA",516.79
"Greene, IA",571.16
"Grundy, IA",502.58
"Guthrie, IA",593.09
"Hamilton, IA",577.47
"Hancock, IA",573.18
"Hardin, IA",569.99
"Harrison, IA",700.99
"Henry, IA",436.71
"Howard, IA",473.8
"Humboldt, IA",435.75
"Ida, IA",432.26
"Iowa, IA",587.39
"Jackson, IA",649.81
"Jasper, IA",732.97
"Jefferson, IA",436.76
"Johnson, IA",623.41
"Jones, IA",576.74
"Keokuk, IA",579.99
"Kossuth, IA",974.46
"Lee, IA",538.8
"Linn, IA",724.62
"Louisa, IA",417.67
"Lucas, IA",434.21
"Lyon, IA",587.68
"Madison, IA",562.33
"Mahaska, IA",573.45
"Marion, IA",570.58
"Marshall, IA",573.07
"Mills, IA",439.7
"Mitchell, IA",469.42
"Monona, IA",698.89
"Monroe, IA",434.14
"Montgomery, IA",424.84
"Muscatine, IA",449.09
"O'Brien, IA",573.3
"Osceola, IA",399.52
"Page, IA",535.38
"Palo Alto, IA",569.45
"Plymouth, IA",864.02
"Pocahontas, IA",579.17
"Polk, IA",591.94
"Pottawattamie, IA",960.01
"Poweshiek, IA",586.22
"Ringgold, IA",538.96
