City,Population Density (Persons/Square Mile),2016 Population,Land Area (Square Miles)
"Yorba Linda, California",3503,68235,19
"Davis, California",6887,68111,10
"Homestead, Florida",4491,67996,15
"Waterloo, Iowa",1107,67934,61
"Redondo Beach, California",10946,67867,6
"Jacksonville, North Carolina",1457,67784,47
"Gaithersburg, Maryland",6645,67776,10
"Victoria, Texas",1907,67670,35
"St. Cloud, Minnesota",1689,67641,40
"Marysville, Washington",3270,67626,21
"Greenville, South Carolina",2353,67453,29
"Delray Beach, Florida",4261,67371,16
"Camarillo, California",3449,67363,20
"Georgetown, Texas",1403,67140,48
"Kenner, Louisiana",4512,67089,15
"Palo Alto, California",2807,67024,24
"Jackson, Tennessee",1247,67005,54
"South San Francisco, California",7328,66980,9
"Rockville, Maryland",4955,66940,14
"Portland, Maine",3141,66937,21
"Yuba City, California",4585,66845,15
"Johnson City, Tennessee",1553,66677,43
"Daytona Beach, Florida",1141,66645,58
"Oshkosh, Wisconsin",2602,66579,26
"Broomfield, Colorado",2014,66529,33
"Eagan, Minnesota",2135,66428,31
"North Little Rock, Arkansas",1287,66278,52
"Bayonne, New Jersey",11420,66238,6
"Ames, Iowa",2734,66191,24
"Mansfield, Texas",1804,65631,36
"Harlingen, Texas",1646,65539,40
"Alpharetta, Georgia",2428,65338,27
"Laguna Niguel, California",4405,65328,15
"San Clemente, California",3491,65309,19
"Conway, Arkansas",1440,65300,45
"Bowling Green, Kentucky",1727,65234,38
"Tamarac, Florida",5611,65199,12
"Shawnee, Kansas",1558,65194,42
"Rogers, Arkansas",1714,65021,38
"Schenectady, New York",6022,64913,11
"East Orange, New Jersey",16528,64789,4
"Lodi, California",4750,64641,14
"Buckeye, Arizona",172,64629,375
"West Des Moines, Iowa",1673,64560,39
"Santa Cruz, California",5060,64465,13
"Madera, California",4081,64444,16
"Youngstown, Ohio",1894,64312,34
"North Port, Florida",645,64274,100
"Skokie, Illinois",6389,64270,10
"Lake Elsinore, California",1773,64205,36
"Janesville, Wisconsin",1895,64159,34
"Cheyenne, Wyoming",2611,64019,25
"Eden Prairie, Minnesota",1970,63914,32
"Wellington, Florida",1423,63900,45
"Jupiter, Florida",2972,63813,21
"Sammamish, Washington",3500,63773,18
"Lorain, Ohio",2692,63730,24
"Pico Rivera, California",7667,63635,8
"Montebello, California",7603,63335,8
"Encinitas, California",3356,63131,19
"Auburn, Alabama",1087,63118,58
"Waltham, Massachusetts",4949,63002,13
"Blaine, Minnesota",1858,62892,34
"Haverhill, Massachusetts",1907,62873,33
"Rocklin, California",3213,62787,20
"Tulare, California",2999,62779,21
"Council Bluffs, Iowa",1526,62524,41
"Redmond, Washington",3836,62458,16
"Coon Rapids, Minnesota",2758,62359,23
"North Miami, Florida",7389,62139,8
"Hamilton, Ohio",2876,62127,22
"Rowlett, Texas",3117,61999,20
"San Marcos, Texas",2051,61980,30
"Lakeville, Minnesota",1718,61938,36
"Springfield, Oregon",3932,61893,16
"Grand Junction, Colorado",1619,61881,38
"La Habra, California",8367,61664,7
"Moore, Oklahoma",2815,61415,22
"Burnsville, Minnesota",2460,61290,25
"Taylor, Michigan",2592,61177,24
"Eastvale, California",5359,61151,11
"National City, California",8399,61147,7
"Lehi, Utah",2321,61130,26
"Port Orange, Florida",2292,61105,27
"Monterey Park, California",7963,61075,8
"Marietta, Georgia",2640,60941,23
"Terre Haute, Indiana",1762,60852,35
"Malden, Massachusetts",12071,60840,5
"Lakewood, Washington",3533,60665,17
"Utica, New York",3619,60652,17
"Cupertino, California",5386,60643,11
"Brentwood, California",4093,60532,15
"Petaluma, California",4209,60530,14
"Vineland, New Jersey",885,60525,68
"Taylorsville, Utah",5570,60436,11
"Idaho Falls, Idaho",2694,60211,22
"Noblesville, Indiana",1918,60183,31
"Bristol, Connecticut",2277,60147,26
"West Allis, Wisconsin",5280,60087,11
"Gardena, California",10300,60048,6
"La Mesa, California",6602,59948,9
"St. Clair Shores, Michigan",5144,59775,12
"Pontiac, Michigan",2989,59698,20
