##"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. All geographic boundaries for the 2019 population estimates are as of January 1, 2019. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html.",
##"Note: The 6,222 people in Bedford city, Virginia, which was an independent city as of the 2010 Census, are not included in the April 1, 2010 Census enumerated population presented in the county estimates. In July 2013, the legal status of Bedford changed from a city to a town and it became dependent within (or part of) Bedford County, Virginia. This population of Bedford town is now included in the April 1, 2010 estimates base and all July 1 estimates for Bedford County. Because it is no longer an independent city, Bedford town is not listed in this table. As a result, the sum of the April 1, 2010 census values for Virginia counties and independent cities does not equal the 2010 Census count for Virginia, and the sum of April 1, 2010 census values for all counties and independent cities in the United States does not equal the 2010 Census count for the United States. Substantial geographic changes to counties can be found on the Census Bureau website at https://www.census.gov/programs-surveys/geography/technical-documentation/county-changes.html.",
##"Suggested Citation:",
##"Annual Estimates of the Resident Population for Counties in the United States: April 1, 2010 to July 1, 2019 (CO-EST2019-ANNRES)",
##"Source: U.S. Census Bureau, Population Division",
"county","population"
".Custer County, Idaho","4,315"
".Elmore County, Idaho","27,511"
".Franklin County, Idaho","13,876"
".Fremont County, Idaho","13,099"
".Gem County, Idaho","18,112"
".Gooding County, Idaho","15,179"
".Idaho County, Idaho","16,667"
".Jefferson County, Idaho","29,871"
".Jerome County, Idaho","24,412"
".Kootenai County, Idaho","165,697"
".Latah County, Idaho","40,108"
".Lemhi County, Idaho","8,027"
".Lewis County, Idaho","3,838"
".Lincoln County, Idaho","5,366"
".Madison County, Idaho","39,907"
".Minidoka County, Idaho","21,039"
".Nez Perce County, Idaho","40,408"
".Oneida County, Idaho","4,531"
".Owyhee County, Idaho","11,823"
".Payette County, Idaho","23,951"
".Power County, Idaho","7,681"
".Shoshone County, Idaho","12,882"
".Teton County, Idaho","12,142"
".Twin Falls County, Idaho","86,878"
".Valley County, Idaho","11,392"
".Washington County, Idaho","10,194"
".Adams County, Illinois","65,435"
".Alexander County, Illinois","5,761"
".Bond County, Illinois","16,426"
".Boone County, Illinois","53,544"
".Brown County, Illinois","6,578"
".Bureau County, Illinois","32,628"
".Calhoun County, Illinois","4,739"
".Carroll County, Illinois","14,305"
".Cass County, Illinois","12,147"
".Champaign County, Illinois","209,689"
".Christian County, Illinois","32,304"
".Clark County, Illinois","15,441"
".Clay County, Illinois","13,184"
".Clinton County, Illinois","37,562"
".Coles County, Illinois","50,621"
".Cook County, Illinois","5,150,233"
".Crawford County, Illinois","18,667"
".Cumberland County, Illinois","10,766"
".DeKalb County, Illinois","104,897"
".De Witt County, Illinois","15,638"
".Douglas County, Illinois","19,465"
".DuPage County, Illinois","922,921"
".Edgar County, Illinois","17,161"
".Edwards County, Illinois","6,395"
".Effingham County, Illinois","34,008"
".Fayette County, Illinois","21,336"
".Ford County, Illinois","12,961"
".Franklin County, Illinois","38,469"
".Fulton County, Illinois","34,340"
".Gallatin County, Illinois","4,828"
".Greene County, Illinois","12,969"
".Grundy County, Illinois","51,054"
".Hamilton County, Illinois","8,116"
".Hancock County, Illinois","17,708"
".Hardin County, Illinois","3,821"
".Henderson County, Illinois","6,646"
".Henry County, Illinois","48,913"
".Iroquois County, Illinois","27,114"
".Jackson County, Illinois","56,750"
".Jasper County, Illinois","9,610"
".Jefferson County, Illinois","37,684"
".Jersey County, Illinois","21,773"
".Jo Daviess County, Illinois","21,235"
".Johnson County, Illinois","12,417"
".Kane County, Illinois","532,403"
".Kankakee County, Illinois","109,862"
".Kendall County, Illinois","128,990"
".Knox County, Illinois","49,699"
".Lake County, Illinois","696,535"
".LaSalle County, Illinois","108,669"
".Lawrence County, Illinois","15,678"
".Lee County, Illinois","34,096"
".Livingston County, Illinois","35,648"
".Logan County, Illinois","28,618"
".McDonough County, Illinois","29,682"
".McHenry County, Illinois","307,774"
".McLean County, Illinois","171,517"
".Macon County, Illinois","104,009"
".Macoupin County, Illinois","44,926"
".Madison County, Illinois","262,966"
".Marion County, Illinois","37,205"
".Marshall County, Illinois","11,438"
".Mason County, Illinois","13,359"
".Massac County, Illinois","13,772"
".Menard County, Illinois","12,196"
".Mercer County, Illinois","15,437"
".Monroe County, Illinois","34,637"
".Montgomery County, Illinois","28,414"
".Morgan County, Illinois","33,658"
".Moultrie County, Illinois","14,501"
".Ogle County, Illinois","50,643"
".Peoria County, Illinois","179,179"
".Perry County, Illinois","20,916"
".Piatt County, Illinois","16,344"
".Pike County, Illinois","15,561"
".Pope County, Illinois","4,177"
".Pulaski County, Illinois","5,335"
".Putnam County, Illinois","5,739"
".Randolph County, Illinois","31,782"
".Richland County, Illinois","15,513"
".Rock Island County, Illinois","141,879"
".St. Clair County, Illinois","259,686"
".Saline County, Illinois","23,491"
".Sangamon County, Illinois","194,672"
".Schuyler County, Illinois","6,768"
".Scott County, Illinois","4,951"
".Shelby County, Illinois","21,634"
".Stark County, Illinois","5,342"
".Stephenson County, Illinois","44,498"
".Tazewell County, Illinois","131,803"
".Union County, Illinois","16,653"
".Vermilion County, Illinois","75,758"
