##"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. All geographic boundaries for the 2019 population estimates are as of January 1, 2019. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html.",
##"Note: The 6,222 people in Bedford city, Virginia, which was an independent city as of the 2010 Census, are not included in the April 1, 2010 Census enumerated population presented in the county estimates. In July 2013, the legal status of Bedford changed from a city to a town and it became dependent within (or part of) Bedford County, Virginia. This population of Bedford town is now included in the April 1, 2010 estimates base and all July 1 estimates for Bedford County. Because it is no longer an independent city, Bedford town is not listed in this table. As a result, the sum of the April 1, 2010 census values for Virginia counties and independent cities does not equal the 2010 Census count for Virginia, and the sum of April 1, 2010 census values for all counties and independent cities in the United States does not equal the 2010 Census count for the United States. Substantial geographic changes to counties can be found on the Census Bureau website at https://www.census.gov/programs-surveys/geography/technical-documentation/county-changes.html.",
##"Suggested Citation:",
##"Annual Estimates of the Resident Population for Counties in the United States: April 1, 2010 to July 1, 2019 (CO-EST2019-ANNRES)",
##"Source: U.S. Census Bureau, Population Division",
"county","population"
".Columbia County, Oregon","52,354"
".Coos County, Oregon","64,487"
".Crook County, Oregon","24,404"
".Curry County, Oregon","22,925"
".Deschutes County, Oregon","197,692"
".Douglas County, Oregon","110,980"
".Gilliam County, Oregon","1,912"
".Grant County, Oregon","7,199"
".Harney County, Oregon","7,393"
".Hood River County, Oregon","23,382"
".Jackson County, Oregon","220,944"
".Jefferson County, Oregon","24,658"
".Josephine County, Oregon","87,487"
".Klamath County, Oregon","68,238"
".Lake County, Oregon","7,869"
".Lane County, Oregon","382,067"
".Lincoln County, Oregon","49,962"
".Linn County, Oregon","129,749"
".Malheur County, Oregon","30,571"
".Marion County, Oregon","347,818"
".Morrow County, Oregon","11,603"
".Multnomah County, Oregon","812,855"
".Polk County, Oregon","86,085"
".Sherman County, Oregon","1,780"
".Tillamook County, Oregon","27,036"
".Umatilla County, Oregon","77,950"
".Union County, Oregon","26,835"
".Wallowa County, Oregon","7,208"
".Wasco County, Oregon","26,682"
".Washington County, Oregon","601,592"
".Wheeler County, Oregon","1,332"
".Yamhill County, Oregon","107,100"
".Adams County, Pennsylvania","103,009"
".Allegheny County, Pennsylvania","1,216,045"
".Armstrong County, Pennsylvania","64,735"
".Beaver County, Pennsylvania","163,929"
".Bedford County, Pennsylvania","47,888"
".Berks County, Pennsylvania","421,164"
".Blair County, Pennsylvania","121,829"
".Bradford County, Pennsylvania","60,323"
".Bucks County, Pennsylvania","628,270"
".Butler County, Pennsylvania","187,853"
".Cambria County, Pennsylvania","130,192"
".Cameron County, Pennsylvania","4,447"
".Carbon County, Pennsylvania","64,182"
".Centre County, Pennsylvania","162,385"
".Chester County, Pennsylvania","524,989"
".Clarion County, Pennsylvania","38,438"
".Clearfield County, Pennsylvania","79,255"
".Clinton County, Pennsylvania","38,632"
".Columbia County, Pennsylvania","64,964"
".Crawford County, Pennsylvania","84,629"
".Cumberland County, Pennsylvania","253,370"
".Dauphin County, Pennsylvania","278,299"
".Delaware County, Pennsylvania","566,747"
".Elk County, Pennsylvania","29,910"
".Erie County, Pennsylvania","269,728"
".Fayette County, Pennsylvania","129,274"
".Forest County, Pennsylvania","7,247"
".Franklin County, Pennsylvania","155,027"
".Fulton County, Pennsylvania","14,530"
".Greene County, Pennsylvania","36,233"
".Huntingdon County, Pennsylvania","45,144"
".Indiana County, Pennsylvania","84,073"
".Jefferson County, Pennsylvania","43,425"
".Juniata County, Pennsylvania","24,763"
".Lackawanna County, Pennsylvania","209,674"
".Lancaster County, Pennsylvania","545,724"
".Lawrence County, Pennsylvania","85,512"
".Lebanon County, Pennsylvania","141,793"
".Lehigh County, Pennsylvania","369,318"
".Luzerne County, Pennsylvania","317,417"
".Lycoming County, Pennsylvania","113,299"
".McKean County, Pennsylvania","40,625"
".Mercer County, Pennsylvania","109,424"
".Mifflin County, Pennsylvania","46,138"
".Monroe County, Pennsylvania","170,271"
".Montgomery County, Pennsylvania","830,915"
".Montour County, Pennsylvania","18,230"
".Northampton County, Pennsylvania","305,285"
".Northumberland County, Pennsylvania","90,843"
".Perry County, Pennsylvania","46,272"
".Philadelphia County, Pennsylvania","1,584,064"
".Pike County, Pennsylvania","55,809"
".Potter County, Pennsylvania","16,526"
".Schuylkill County, Pennsylvania","141,359"
".Snyder County, Pennsylvania","40,372"
".Somerset County, Pennsylvania","73,447"
".Sullivan County, Pennsylvania","6,066"
".Susquehanna County, Pennsylvania","40,328"
".Tioga County, Pennsylvania","40,591"
".Union County, Pennsylvania","44,923"
".Venango County, Pennsylvania","50,668"
".Warren County, Pennsylvania","39,191"
".Washington County, Pennsylvania","206,865"
".Wayne County, Pennsylvania","51,361"
".Westmoreland County, Pennsylvania","348,899"
".Wyoming County, Pennsylvania","26,794"
".York County, Pennsylvania","449,058"
".Bristol County, Rhode Island","48,479"
".Kent County, Rhode Island","164,292"
".Newport County, Rhode Island","82,082"
".Providence County, Rhode Island","638,931"
".Washington County, Rhode Island","125,577"
".Abbeville County, South Carolina","24,527"
".Aiken County, South Carolina","170,872"
".Allendale County, South Carolina","8,688"
".Anderson County, South Carolina","202,558"
".Bamberg County, South Carolina","14,066"
".Barnwell County, South Carolina","20,866"
".Beaufort County, South Carolina","192,122"
".Berkeley County, South Carolina","227,907"
".Calhoun County, South Carolina","14,553"
".Charleston County, South Carolina","411,406"
".Cherokee County, South Carolina","57,300"
".Chester County, South Carolina","32,244"
".Chesterfield County, South Carolina","45,650"
".Clarendon County, South Carolina","33,745"
".Colleton County, South Carolina","37,677"
".Darlington County, South Carolina","66,618"
".Dillon County, South Carolina","30,479"
".Dorchester County, South Carolina","162,809"
".Edgefield County, South Carolina","27,260"
".Fairfield County, South Carolina","22,347"
".Florence County, South Carolina","138,293"
".Georgetown County, South Carolina","62,680"
".Greenville County, South Carolina","523,542"
".Greenwood County, South Carolina","70,811"
".Hampton County, South Carolina","19,222"
".Horry County, South Carolina","354,081"
".Jasper County, South Carolina","30,073"
".Kershaw County, South Carolina","66,551"
".Lancaster County, South Carolina","98,012"
".Laurens County, South Carolina","67,493"
".Lee County, South Carolina","16,828"
".Lexington County, South Carolina","298,750"
".McCormick County, South Carolina","9,463"
".Marion County, South Carolina","30,657"
".Marlboro County, South Carolina","26,118"
".Newberry County, South Carolina","38,440"
".Oconee County, South Carolina","79,546"
".Orangeburg County, South Carolina","86,175"
".Pickens County, South Carolina","126,884"
".Richland County, South Carolina","415,759"
".Saluda County, South Carolina","20,473"
".Spartanburg County, South Carolina","319,785"
".Sumter County, South Carolina","106,721"
".Union County, South Carolina","27,316"
".Williamsburg County, South Carolina","30,368"
".York County, South Carolina","280,979"
".Aurora County, South Dakota","2,751"
".Beadle County, South Dakota","18,453"
".Bennett County, South Dakota","3,365"
".Bon Homme County, South Dakota","6,901"
".Brookings County, South Dakota","35,077"
".Brown County, South Dakota","38,839"
".Brule County, South Dakota","5,297"
".Buffalo County, South Dakota","1,962"
".Butte County, South Dakota","10,429"
".Campbell County, South Dakota","1,376"
".Charles Mix County, South Dakota","9,292"
".Clark County, South Dakota","3,736"
".Clay County, South Dakota","14,070"
".Codington County, South Dakota","28,009"
".Corson County, South Dakota","4,086"
".Custer County, South Dakota","8,972"
".Davison County, South Dakota","19,775"
".Day County, South Dakota","5,424"
".Deuel County, South Dakota","4,351"
".Dewey County, South Dakota","5,892"
".Douglas County, South Dakota","2,921"
".Edmunds County, South Dakota","3,829"
".Fall River County, South Dakota","6,713"
".Faulk County, South Dakota","2,299"
".Grant County, South Dakota","7,052"
".Gregory County, South Dakota","4,185"
".Haakon County, South Dakota","1,899"
".Hamlin County, South Dakota","6,164"
".Hand County, South Dakota","3,191"
".Hanson County, South Dakota","3,453"
".Harding County, South Dakota","1,298"
".Hughes County, South Dakota","17,526"
".Hutchinson County, South Dakota","7,291"
".Hyde County, South Dakota","1,301"
".Jackson County, South Dakota","3,344"
".Jerauld County, South Dakota","2,013"
".Jones County, South Dakota",903
".Kingsbury County, South Dakota","4,939"
".Lake County, South Dakota","12,797"
".Lawrence County, South Dakota","25,844"
".Lincoln County, South Dakota","61,128"
".Lyman County, South Dakota","3,781"
".McCook County, South Dakota","5,586"
".McPherson County, South Dakota","2,379"
".Marshall County, South Dakota","4,935"
".Meade County, South Dakota","28,332"
".Mellette County, South Dakota","2,061"
".Miner County, South Dakota","2,216"
".Minnehaha County, South Dakota","193,134"
".Moody County, South Dakota","6,576"
".Oglala Lakota County, South Dakota","14,177"
".Pennington County, South Dakota","113,775"
".Perkins County, South Dakota","2,865"
".Potter County, South Dakota","2,153"
".Roberts County, South Dakota","10,394"
".Sanborn County, South Dakota","2,344"
".Spink County, South Dakota","6,376"
".Stanley County, South Dakota","3,098"
".Sully County, South Dakota","1,391"
".Todd County, South Dakota","10,177"
".Tripp County, South Dakota","5,441"
".Turner County, South Dakota","8,384"
".Union County, South Dakota","15,932"
".Walworth County, South Dakota","5,435"
".Yankton County, South Dakota","22,814"
".Ziebach County, South Dakota","2,756"
".Anderson County, Tennessee","76,978"
".Bedford County, Tennessee","49,713"
".Benton County, Tennessee","16,160"
".Bledsoe County, Tennessee","15,064"
".Blount County, Tennessee","133,088"
".Bradley County, Tennessee","108,110"
".Campbell County, Tennessee","39,842"
".Cannon County, Tennessee","14,678"
".Carroll County, Tennessee","27,767"
".Carter County, Tennessee","56,391"
".Cheatham County, Tennessee","40,667"
".Chester County, Tennessee","17,297"
".Claiborne County, Tennessee","31,959"
".Clay County, Tennessee","7,615"
".Cocke County, Tennessee","36,004"
".Coffee County, Tennessee","56,520"
".Crockett County, Tennessee","14,230"
".Cumberland County, Tennessee","60,520"
".Davidson County, Tennessee","694,144"
".Decatur County, Tennessee","11,663"
".DeKalb County, Tennessee","20,490"
".Dickson County, Tennessee","53,948"
".Dyer County, Tennessee","37,159"
".Fayette County, Tennessee","41,133"
".Fentress County, Tennessee","18,523"
".Franklin County, Tennessee","42,208"
".Gibson County, Tennessee","49,133"
".Giles County, Tennessee","29,464"
".Grainger County, Tennessee","23,320"
".Greene County, Tennessee","69,069"
".Grundy County, Tennessee","13,427"
".Hamblen County, Tennessee","64,934"
".Hamilton County, Tennessee","367,804"
".Hancock County, Tennessee","6,620"
".Hardeman County, Tennessee","25,050"
".Hardin County, Tennessee","25,652"
".Hawkins County, Tennessee","56,786"
".Haywood County, Tennessee","17,304"
".Henderson County, Tennessee","28,117"
".Henry County, Tennessee","32,345"
".Hickman County, Tennessee","25,178"
".Houston County, Tennessee","8,201"
".Humphreys County, Tennessee","18,582"
".Jackson County, Tennessee","11,786"
".Jefferson County, Tennessee","54,495"
".Johnson County, Tennessee","17,788"
".Knox County, Tennessee","470,313"
".Lake County, Tennessee","7,016"
".Lauderdale County, Tennessee","25,633"
".Lawrence County, Tennessee","44,142"
".Lewis County, Tennessee","12,268"
".Lincoln County, Tennessee","34,366"
".Loudon County, Tennessee","54,068"
".McMinn County, Tennessee","53,794"
".McNairy County, Tennessee","25,694"
".Macon County, Tennessee","24,602"
".Madison County, Tennessee","97,984"
".Marion County, Tennessee","28,907"
".Marshall County, Tennessee","34,375"
".Maury County, Tennessee","96,387"
".Meigs County, Tennessee","12,422"
".Monroe County, Tennessee","46,545"
".Montgomery County, Tennessee","208,993"
".Moore County, Tennessee","6,488"
".Morgan County, Tennessee","21,403"
".Obion County, Tennessee","30,069"
".Overton County, Tennessee","22,241"
".Perry County, Tennessee","8,076"
".Pickett County, Tennessee","5,048"
".Polk County, Tennessee","16,832"
".Putnam County, Tennessee","80,245"
".Rhea County, Tennessee","33,167"
".Roane County, Tennessee","53,382"
".Robertson County, Tennessee","71,813"
".Rutherford County, Tennessee","332,285"
".Scott County, Tennessee","22,068"
".Sequatchie County, Tennessee","15,026"
".Sevier County, Tennessee","98,250"
".Shelby County, Tennessee","937,166"
".Smith County, Tennessee","20,157"
".Stewart County, Tennessee","13,715"
".Sullivan County, Tennessee","158,348"
".Sumner County, Tennessee","191,283"
".Tipton County, Tennessee","61,599"
".Trousdale County, Tennessee","11,284"
".Unicoi County, Tennessee","17,883"
".Union County, Tennessee","19,972"
".Van Buren County, Tennessee","5,872"
".Warren County, Tennessee","41,277"
".Washington County, Tennessee","129,375"
".Wayne County, Tennessee","16,673"
".Weakley County, Tennessee","33,328"
".White County, Tennessee","27,345"
".Williamson County, Tennessee","238,412"
".Wilson County, Tennessee","144,657"
".Anderson County, Texas","57,735"
".Andrews County, Texas","18,705"
".Angelina County, Texas","86,715"
".Aransas County, Texas","23,510"
".Archer County, Texas","8,553"
".Armstrong County, Texas","1,887"
".Atascosa County, Texas","51,153"
".Austin County, Texas","30,032"
".Bailey County, Texas","7,000"
".Bandera County, Texas","23,112"
".Bastrop County, Texas","88,723"
".Baylor County, Texas","3,509"
".Bee County, Texas","32,565"
".Bell County, Texas","362,924"
".Bexar County, Texas","2,003,554"
".Blanco County, Texas","11,931"
".Borden County, Texas",654
".Bosque County, Texas","18,685"
".Bowie County, Texas","93,245"
".Brazoria County, Texas","374,264"
".Brazos County, Texas","229,211"
".Brewster County, Texas","9,203"
".Briscoe County, Texas","1,546"
".Brooks County, Texas","7,093"
".Brown County, Texas","37,864"
".Burleson County, Texas","18,443"
".Burnet County, Texas","48,155"
".Caldwell County, Texas","43,664"
".Calhoun County, Texas","21,290"
".Callahan County, Texas","13,943"
".Cameron County, Texas","423,163"
".Camp County, Texas","13,094"
".Carson County, Texas","5,926"
".Cass County, Texas","30,026"
".Castro County, Texas","7,530"
".Chambers County, Texas","43,837"
".Cherokee County, Texas","52,646"
".Childress County, Texas","7,306"
".Clay County, Texas","10,471"
".Cochran County, Texas","2,853"
".Coke County, Texas","3,387"
".Coleman County, Texas","8,175"
".Collin County, Texas","1,034,730"
".Collingsworth County, Texas","2,920"
".Colorado County, Texas","21,493"
".Comal County, Texas","156,209"
".Comanche County, Texas","13,635"
".Concho County, Texas","2,726"
".Cooke County, Texas","41,257"
".Coryell County, Texas","75,951"
".Cottle County, Texas","1,398"
".Crane County, Texas","4,797"
".Crockett County, Texas","3,464"
".Crosby County, Texas","5,737"
".Culberson County, Texas","2,171"
".Dallam County, Texas","7,287"
".Dallas County, Texas","2,635,516"
".Dawson County, Texas","12,728"
".Deaf Smith County, Texas","18,546"
".Delta County, Texas","5,331"
".Denton County, Texas","887,207"
".DeWitt County, Texas","20,160"
".Dickens County, Texas","2,211"
".Dimmit County, Texas","10,124"
".Donley County, Texas","3,278"
".Duval County, Texas","11,157"
".Eastland County, Texas","18,360"
".Ector County, Texas","166,223"
".Edwards County, Texas","1,932"
".Ellis County, Texas","184,826"
".El Paso County, Texas","839,238"
".Erath County, Texas","42,698"
".Falls County, Texas","17,297"
".Fannin County, Texas","35,514"
".Fayette County, Texas","25,346"
".Fisher County, Texas","3,830"
".Floyd County, Texas","5,712"
".Foard County, Texas","1,155"
".Fort Bend County, Texas","811,688"
".Franklin County, Texas","10,725"
".Freestone County, Texas","19,717"
".Frio County, Texas","20,306"
".Gaines County, Texas","21,492"
".Galveston County, Texas","342,139"
".Garza County, Texas","6,229"
".Gillespie County, Texas","26,988"
".Glasscock County, Texas","1,409"
".Goliad County, Texas","7,658"
".Gonzales County, Texas","20,837"
".Gray County, Texas","21,886"
".Grayson County, Texas","136,212"
".Gregg County, Texas","123,945"
".Grimes County, Texas","28,880"
".Guadalupe County, Texas","166,847"
".Hale County, Texas","33,406"
".Hall County, Texas","2,964"
".Hamilton County, Texas","8,461"
".Hansford County, Texas","5,399"
".Hardeman County, Texas","3,933"
".Hardin County, Texas","57,602"
".Harris County, Texas","4,713,325"
".Harrison County, Texas","66,553"
".Hartley County, Texas","5,576"
".Haskell County, Texas","5,658"
".Hays County, Texas","230,191"
".Hemphill County, Texas","3,819"
".Henderson County, Texas","82,737"
".Hidalgo County, Texas","868,707"
".Hill County, Texas","36,649"
".Hockley County, Texas","23,021"
".Hood County, Texas","61,643"
".Hopkins County, Texas","37,084"
".Houston County, Texas","22,968"
".Howard County, Texas","36,664"
".Hudspeth County, Texas","4,886"
".Hunt County, Texas","98,594"
".Hutchinson County, Texas","20,938"
".Irion County, Texas","1,536"
".Jack County, Texas","8,935"
".Jackson County, Texas","14,760"
".Jasper County, Texas","35,529"
".Jeff Davis County, Texas","2,274"
".Jefferson County, Texas","251,565"
".Jim Hogg County, Texas","5,200"
".Jim Wells County, Texas","40,482"
".Johnson County, Texas","175,817"
".Jones County, Texas","20,083"
".Karnes County, Texas","15,601"
".Kaufman County, Texas","136,154"
".Kendall County, Texas","47,431"
".Kenedy County, Texas",404
".Kent County, Texas",762
".Kerr County, Texas","52,600"
".Kimble County, Texas","4,337"
".King County, Texas",272
".Kinney County, Texas","3,667"
".Kleberg County, Texas","30,680"
".Knox County, Texas","3,664"
".Lamar County, Texas","49,859"
".Lamb County, Texas","12,893"
".Lampasas County, Texas","21,428"
".La Salle County, Texas","7,520"
".Lavaca County, Texas","20,154"
".Lee County, Texas","17,239"
".Leon County, Texas","17,404"
".Liberty County, Texas","88,219"
".Limestone County, Texas","23,437"
".Lipscomb County, Texas","3,233"
".Live Oak County, Texas","12,207"
".Llano County, Texas","21,795"
".Loving County, Texas",169
".Lubbock County, Texas","310,569"
".Lynn County, Texas","5,951"
".McCulloch County, Texas","7,984"
".McLennan County, Texas","256,623"
".McMullen County, Texas",743
".Madison County, Texas","14,284"
".Marion County, Texas","9,854"
".Martin County, Texas","5,771"
".Mason County, Texas","4,274"
".Matagorda County, Texas","36,643"
".Maverick County, Texas","58,722"
".Medina County, Texas","51,584"
".Menard County, Texas","2,138"
".Midland County, Texas","176,832"
".Milam County, Texas","24,823"
".Mills County, Texas","4,873"
".Mitchell County, Texas","8,545"
".Montague County, Texas","19,818"
".Montgomery County, Texas","607,391"
".Moore County, Texas","20,940"
".Morris County, Texas","12,388"
".Motley County, Texas","1,200"
".Nacogdoches County, Texas","65,204"
".Navarro County, Texas","50,113"
".Newton County, Texas","13,595"
".Nolan County, Texas","14,714"
".Nueces County, Texas","362,294"
".Ochiltree County, Texas","9,836"
".Oldham County, Texas","2,112"
".Orange County, Texas","83,396"
".Palo Pinto County, Texas","29,189"
".Panola County, Texas","23,194"
".Parker County, Texas","142,878"
".Parmer County, Texas","9,605"
".Pecos County, Texas","15,823"
".Polk County, Texas","51,353"
".Potter County, Texas","117,415"
".Presidio County, Texas","6,704"
".Rains County, Texas","12,514"
".Randall County, Texas","137,713"
".Reagan County, Texas","3,849"
".Real County, Texas","3,452"
".Red River County, Texas","12,023"
".Reeves County, Texas","15,976"
".Refugio County, Texas","6,948"
".Roberts County, Texas",854
".Robertson County, Texas","17,074"
".Rockwall County, Texas","104,915"
".Runnels County, Texas","10,264"
".Rusk County, Texas","54,406"
".Sabine County, Texas","10,542"
".San Augustine County, Texas","8,237"
".San Jacinto County, Texas","28,859"
".San Patricio County, Texas","66,730"
".San Saba County, Texas","6,055"
".Schleicher County, Texas","2,793"
".Scurry County, Texas","16,703"
".Shackelford County, Texas","3,265"
".Shelby County, Texas","25,274"
".Sherman County, Texas","3,022"
".Smith County, Texas","232,751"
".Somervell County, Texas","9,128"
".Starr County, Texas","64,633"
".Stephens County, Texas","9,366"
".Sterling County, Texas","1,291"
".Stonewall County, Texas","1,350"
".Sutton County, Texas","3,776"
".Swisher County, Texas","7,397"
".Tarrant County, Texas","2,102,515"
".Taylor County, Texas","138,034"
".Terrell County, Texas",776
".Terry County, Texas","12,337"
".Throckmorton County, Texas","1,501"
".Titus County, Texas","32,750"
".Tom Green County, Texas","119,200"
".Travis County, Texas","1,273,954"
".Trinity County, Texas","14,651"
".Tyler County, Texas","21,672"
".Upshur County, Texas","41,753"
".Upton County, Texas","3,657"
".Uvalde County, Texas","26,741"
".Val Verde County, Texas","49,025"
".Van Zandt County, Texas","56,590"
".Victoria County, Texas","92,084"
".Walker County, Texas","72,971"
".Waller County, Texas","55,246"
".Ward County, Texas","11,998"
".Washington County, Texas","35,882"
".Webb County, Texas","276,652"
".Wharton County, Texas","41,556"
".Wheeler County, Texas","5,056"
".Wichita County, Texas","132,230"
".Wilbarger County, Texas","12,769"
".Willacy County, Texas","21,358"
".Williamson County, Texas","590,551"
".Wilson County, Texas","51,070"
".Winkler County, Texas","8,010"
".Wise County, Texas","69,984"
".Wood County, Texas","45,539"
".Yoakum County, Texas","8,713"
".Young County, Texas","18,010"
".Zapata County, Texas","14,179"
".Zavala County, Texas","11,840"
".Beaver County, Utah","6,710"
".Box Elder County, Utah","56,046"
".Cache County, Utah","128,289"
".Carbon County, Utah","20,463"
".Daggett County, Utah",950
".Davis County, Utah","355,481"
".Duchesne County, Utah","19,938"
".Emery County, Utah","10,012"
".Garfield County, Utah","5,051"
".Grand County, Utah","9,754"
".Iron County, Utah","54,839"
".Juab County, Utah","12,017"
".Kane County, Utah","7,886"
".Millard County, Utah","13,188"
".Morgan County, Utah","12,124"
".Piute County, Utah","1,479"
".Rich County, Utah","2,483"
".Salt Lake County, Utah","1,160,437"
".San Juan County, Utah","15,308"
".Sanpete County, Utah","30,939"
".Sevier County, Utah","21,620"
".Summit County, Utah","42,145"
".Tooele County, Utah","72,259"
".Uintah County, Utah","35,734"
".Utah County, Utah","636,235"
".Wasatch County, Utah","34,091"
".Washington County, Utah","177,556"
".Wayne County, Utah","2,711"
".Weber County, Utah","260,213"
".Addison County, Vermont","36,777"
".Bennington County, Vermont","35,470"
".Caledonia County, Vermont","29,993"
".Chittenden County, Vermont","163,774"
".Essex County, Vermont","6,163"
".Franklin County, Vermont","49,402"
".Grand Isle County, Vermont","7,235"
".Lamoille County, Vermont","25,362"
".Orange County, Vermont","28,892"
".Orleans County, Vermont","27,037"
".Rutland County, Vermont","58,191"
".Washington County, Vermont","58,409"
".Windham County, Vermont","42,222"
".Windsor County, Vermont","55,062"
".Accomack County, Virginia","32,316"
".Albemarle County, Virginia","109,330"
".Alleghany County, Virginia","14,860"
".Amelia County, Virginia","13,145"
".Amherst County, Virginia","31,605"
".Appomattox County, Virginia","15,911"
".Arlington County, Virginia","236,842"
".Augusta County, Virginia","75,558"
".Bath County, Virginia","4,147"
".Bedford County, Virginia","78,997"
".Bland County, Virginia","6,280"
".Botetourt County, Virginia","33,419"
".Brunswick County, Virginia","16,231"
".Buchanan County, Virginia","21,004"
".Buckingham County, Virginia","17,148"
".Campbell County, Virginia","54,885"
".Caroline County, Virginia","30,725"
".Carroll County, Virginia","29,791"
".Charles City County, Virginia","6,963"
".Charlotte County, Virginia","11,880"
".Chesterfield County, Virginia","352,802"
".Clarke County, Virginia","14,619"
".Craig County, Virginia","5,131"
".Culpeper County, Virginia","52,605"
".Cumberland County, Virginia","9,932"
".Dickenson County, Virginia","14,318"
".Dinwiddie County, Virginia","28,544"
".Essex County, Virginia","10,953"
".Fairfax County, Virginia","1,147,532"
".Fauquier County, Virginia","71,222"
".Floyd County, Virginia","15,749"
".Fluvanna County, Virginia","27,270"
".Franklin County, Virginia","56,042"
".Frederick County, Virginia","89,313"
".Giles County, Virginia","16,720"
".Gloucester County, Virginia","37,348"
".Goochland County, Virginia","23,753"
".Grayson County, Virginia","15,550"
".Greene County, Virginia","19,819"
".Greensville County, Virginia","11,336"
".Halifax County, Virginia","33,911"
".Hanover County, Virginia","107,766"
".Henrico County, Virginia","330,818"
".Henry County, Virginia","50,557"
".Highland County, Virginia","2,190"
".Isle of Wight County, Virginia","37,109"
".James City County, Virginia","76,523"
".King and Queen County, Virginia","7,025"
".King George County, Virginia","26,836"
".King William County, Virginia","17,148"
".Lancaster County, Virginia","10,603"
".Lee County, Virginia","23,423"
".Loudoun County, Virginia","413,538"
".Louisa County, Virginia","37,591"
".Lunenburg County, Virginia","12,196"
".Madison County, Virginia","13,261"
".Mathews County, Virginia","8,834"
".Mecklenburg County, Virginia","30,587"
".Middlesex County, Virginia","10,582"
".Montgomery County, Virginia","98,535"
".Nelson County, Virginia","14,930"
".New Kent County, Virginia","23,091"
".Northampton County, Virginia","11,710"
".Northumberland County, Virginia","12,095"
".Nottoway County, Virginia","15,232"
".Orange County, Virginia","37,051"
".Page County, Virginia","23,902"
".Patrick County, Virginia","17,608"
".Pittsylvania County, Virginia","60,354"
".Powhatan County, Virginia","29,652"
".Prince Edward County, Virginia","22,802"
".Prince George County, Virginia","38,353"
".Prince William County, Virginia","470,335"
".Pulaski County, Virginia","34,027"
".Rappahannock County, Virginia","7,370"
".Richmond County, Virginia","9,023"
".Roanoke County, Virginia","94,186"
".Rockbridge County, Virginia","22,573"
".Rockingham County, Virginia","81,948"
".Russell County, Virginia","26,586"
".Scott County, Virginia","21,566"
".Shenandoah County, Virginia","43,616"
".Smyth County, Virginia","30,104"
".Southampton County, Virginia","17,631"
".Spotsylvania County, Virginia","136,215"
".Stafford County, Virginia","152,882"
".Surry County, Virginia","6,422"
".Sussex County, Virginia","11,159"
".Tazewell County, Virginia","40,595"
".Warren County, Virginia","40,164"
".Washington County, Virginia","53,740"
".Westmoreland County, Virginia","18,015"
".Wise County, Virginia","37,383"
".Wythe County, Virginia","28,684"
".York County, Virginia","68,280"
".Alexandria city, Virginia","159,428"
".Bristol city, Virginia","16,762"
".Buena Vista city, Virginia","6,478"
".Charlottesville city, Virginia","47,266"
".Chesapeake city, Virginia","244,835"
".Colonial Heights city, Virginia","17,370"
".Covington city, Virginia","5,538"
".Danville city, Virginia","40,044"
".Emporia city, Virginia","5,346"
".Fairfax city, Virginia","24,019"
".Falls Church city, Virginia","14,617"
".Franklin city, Virginia","7,967"
".Fredericksburg city, Virginia","29,036"
".Galax city, Virginia","6,347"
".Hampton city, Virginia","134,510"
".Harrisonburg city, Virginia","53,016"
".Hopewell city, Virginia","22,529"
".Lexington city, Virginia","7,446"
".Lynchburg city, Virginia","82,168"
".Manassas city, Virginia","41,085"
".Manassas Park city, Virginia","17,478"
".Martinsville city, Virginia","12,554"
".Newport News city, Virginia","179,225"
".Norfolk city, Virginia","242,742"
".Norton city, Virginia","3,981"
".Petersburg city, Virginia","31,346"
".Poquoson city, Virginia","12,271"
".Portsmouth city, Virginia","94,398"
".Radford city, Virginia","18,249"
".Richmond city, Virginia","230,436"
".Roanoke city, Virginia","99,143"
".Salem city, Virginia","25,301"
".Staunton city, Virginia","24,932"
".Suffolk city, Virginia","92,108"
".Virginia Beach city, Virginia","449,974"
".Waynesboro city, Virginia","22,630"
".Williamsburg city, Virginia","14,954"
".Winchester city, Virginia","28,078"
".Adams County, Washington","19,983"
".Asotin County, Washington","22,582"
".Benton County, Washington","204,390"
".Chelan County, Washington","77,200"
".Clallam County, Washington","77,331"
".Clark County, Washington","488,241"
".Columbia County, Washington","3,985"
".Cowlitz County, Washington","110,593"
".Douglas County, Washington","43,429"
".Ferry County, Washington","7,627"
".Franklin County, Washington","95,222"
".Garfield County, Washington","2,225"
".Grant County, Washington","97,733"
".Grays Harbor County, Washington","75,061"
".Island County, Washington","85,141"
".Jefferson County, Washington","32,221"
".King County, Washington","2,252,782"
".Kitsap County, Washington","271,473"
".Kittitas County, Washington","47,935"
".Klickitat County, Washington","22,425"
".Lewis County, Washington","80,707"
".Lincoln County, Washington","10,939"
".Mason County, Washington","66,768"
".Okanogan County, Washington","42,243"
".Pacific County, Washington","22,471"
".Pend Oreille County, Washington","13,724"
".Pierce County, Washington","904,980"
".San Juan County, Washington","17,582"
".Skagit County, Washington","129,205"
".Skamania County, Washington","12,083"
".Snohomish County, Washington","822,083"
".Spokane County, Washington","522,798"
".Stevens County, Washington","45,723"
".Thurston County, Washington","290,536"
".Wahkiakum County, Washington","4,488"
".Walla Walla County, Washington","60,760"
".Whatcom County, Washington","229,247"
".Whitman County, Washington","50,104"
".Yakima County, Washington","250,873"
".Barbour County, West Virginia","16,441"
