fips,population
37183,1111761
37191,123131
38101,67641
39035,1235072
39151,370606
39155,197974
40109,797434
40143,651552
41005,418187
41017,197692
41019,110980
41029,220944
41035,68238
41043,129749
41047,347818
41051,812855
41053,86085
41059,77950
41067,601592
42017,628270
42029,524989
42041,253370
42045,566747
42089,170271
42091,830915
42095,305285
42101,1584064
42103,55809
42125,206865
42127,51361
NA,NA
NA,NA
45019,411406
45055,66551
45057,98012
45083,319785
46005,18453
46009,6901
46023,9292
46035,19775
46087,5586
46099,193134
47037,694144
47065,367804
47089,54495
47093,470313
47149,332285
47157,937166
47163,158348
47187,238412
48027,362924
48029,2003554
48085,1034730
48113,2635516
48141,839238
48157,811688
48167,342139
48183,123945
48201,4713325
48339,607391
48423,232751
48439,2102515
48453,1273954
49011,355481
49035,1160437
49053,177556
49057,260213
50003,35470
50007,163774
51510,159428
51013,236842
51059,1147532
51085,107766
51660,53016
51095,76523
51107,413538
51147,22802
51153,470335
51810,449974
53007,77200
53011,488241
53013,3985
53025,97733
53027,75061
53029,85141
53031,32221
53033,2252782
53035,271473
53037,47935
53053,904980
53057,129205
53061,822083
53063,522798
53067,290536
53071,60760
53073,229247
53077,250873
55025,546695
55039,103403
55079,945726
55093,42754
55101,196311
55117,115340
55133,404198
56013,39261
56033,30485
01003,223234
01051,81209
01073,658573
01083,98915
01101,226486
01125,209355
02020,288000
04009,38837
04013,4485414
04019,1047279
04021,462789
05069,66824
05119,391911
06001,1671329
06013,1153526
06019,999101
06023,135558
06037,10039107
06039,157327
06041,258826
06055,137744
06059,3175692
06061,398329
06065,2470546
06067,1552058
06069,62808
06073,3338330
06075,881549
06077,762148
06079,283111
06081,766573
06085,1927852
06087,273213
06089,180080
06095,447643
06097,494336
06099,550660
06107,466195
06111,846006
06113,220500
08001,517421
08005,656590
08013,326196
08019,9700
08031,727211
08035,351154
08037,55127
08041,720403
08051,17462
08059,582881
08069,356899
08077,154210
08097,17767
08101,168424
08107,25638
08117,31011
08123,324492
09001,943332
09003,891720
09005,180333
09009,854757
10003,558753
11001,705749
12001,269043
12011,1952778
12015,188910
12019,219252
12021,384902
12031,957755
12057,1471968
12071,770577
12081,403253
12086,2716940
12089,88625
12091,210738
12095,1393452
12097,375751
12099,1496770
12101,553947
12103,974996
12113,184313
12115,433742
12117,471826
12109,264672
12127,553284
13015,107738
13049,13392
13057,258773
13067,760141
