date,geoid,state,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
2020-02-27,USA-17,Illinois,0,0,0,0,0,0
2020-02-27,USA-06,California,0,2.57,0.01,0,0,0
2020-02-27,USA-04,Arizona,0,0,0,0,0,0
2020-02-28,USA-55,Wisconsin,0,0,0,0,0,0
2020-02-28,USA-53,Washington,2,0.86,0.01,0,0,0
2020-02-28,USA-49,Utah,0,0.14,0,0,0,0
2020-02-28,USA-48,Texas,1,1,0,0,0,0
2020-02-28,USA-41,Oregon,1,0.14,0,0,0,0
2020-02-28,USA-31,Nebraska,0,0.29,0.01,0,0,0
2020-02-28,USA-25,Massachusetts,0,0,0,0,0,0
2020-02-28,USA-17,Illinois,0,0,0,0,0,0
2020-02-28,USA-06,California,1,2.57,0.01,0,0,0
2020-02-28,USA-04,Arizona,0,0,0,0,0,0
2020-02-29,USA-55,Wisconsin,0,0,0,0,0,0
2020-02-29,USA-53,Washington,3,1.29,0.02,1,0.14,0
2020-02-29,USA-49,Utah,0,0.14,0,0,0,0
2020-02-29,USA-48,Texas,0,1,0,0,0,0
2020-02-29,USA-41,Oregon,0,0.14,0,0,0,0
2020-02-29,USA-31,Nebraska,0,0.29,0.01,0,0,0
2020-02-29,USA-25,Massachusetts,0,0,0,0,0,0
2020-02-29,USA-17,Illinois,1,0.14,0,0,0,0
2020-02-29,USA-06,California,1,2.71,0.01,0,0,0
2020-02-29,USA-04,Arizona,0,0,0,0,0,0
2020-03-01,USA-55,Wisconsin,0,0,0,0,0,0
2020-03-01,USA-53,Washington,7,2.29,0.03,2,0.43,0.01
2020-03-01,USA-49,Utah,0,0.14,0,0,0,0
2020-03-01,USA-48,Texas,0,1,0,0,0,0
2020-03-01,USA-44,Rhode Island,2,0.29,0.03,0,0,0
2020-03-01,USA-41,Oregon,1,0.29,0.01,0,0,0
2020-03-01,USA-36,New York,1,0.14,0,0,0,0
2020-03-01,USA-31,Nebraska,0,0.29,0.01,0,0,0
2020-03-01,USA-25,Massachusetts,0,0,0,0,0,0
2020-03-01,USA-17,Illinois,0,0.14,0,0,0,0
2020-03-01,USA-12,Florida,2,0.29,0,0,0,0
